id	type	modified	language	license	rightsHolder	accessRights	bibliographicCitation	references	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	otherCatalogNumbers	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	fieldNumber	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	identificationQualifier	identificationVerificationStatus	typeStatus	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
214476211												VAL	VAL_bry			PreservedSpecimen					214476211	991-1			J. Guerra																																		1982	4	8													ES		MA			Sierra del Aljibe, Arroyo de la Sauceda													36.479999542236	-5.6799998283386							0																																													Scorpiurium deflexifolium (Solms) Fleisch. & Loeske								Plantae				Brachytheciaceae	Scorpiurium		deflexifolium				(Solms) Fleisch. & Loeske					
214476210												VAL	VAL_bry			PreservedSpecimen					214476210	99-1			Puche																																		1977	9	3													ES		TE			Sierra Palomita, abrevadero Palomita													40.529998779297	-0.51999998092651							0																																													Tortula subulata Hedw. var. graeffii Warnst.								Plantae				Pottiaceae	Tortula		subulata	graeffii			Warnst.					
214476209												VAL	VAL_bry			PreservedSpecimen					214476209	985-1			J. Guerra																																		1983	4	15													ES		AL			Puta del Sabinar													36.599998474121	-2.7799999713898							0																																													Tortella flavovirens (Bruch) Broth.								Plantae				Pottiaceae	Tortella		flavovirens				(Bruch) Broth.					
214476208												VAL	VAL_bry			PreservedSpecimen					214476208	981-1			B. Cabezudo & A. E. Salvo																																		1983	11	17													ES		MA			Mabella													36.490001678467	-5.0100002288818							0																																													Timmiella barbuloides (Brid.) Mönk.								Plantae				Pottiaceae	Timmiella		barbuloides				(Brid.) Mönk.					
214476207												VAL	VAL_bry			PreservedSpecimen					214476207	97-1			Puche																																		1978	8	20													ES		TE			Sierra Palomita, abrevadero Palomita				1600									40.529998779297	-0.51999998092651							0																																													Syntrichia subpapillosissima (Bizot & R.B. Pierrot Ex W. A, Kramer) M								Plantae				Pottiaceae	Syntrichia		subpapillosissima				(Bizot & R.B. Pierrot Ex W. A, Kramer) M					
214476206												VAL	VAL_bry			PreservedSpecimen					214476206	969-1			A. Ederra																																		1983	12	11													ES		NA			Iribas													42.990001678467	-2.0199999809265							0																																													Tetraphis pellucida Hedw.								Plantae				Tetraphidaceae	Tetraphis		pellucida				Hedw.					
214476205												VAL	VAL_bry			PreservedSpecimen					214476205	96-1																																																				ES		TE			Sierra Palomita, Muela Monchen													40.529998779297	-0.51999998092651							0																																													Tortula caninervis (Mitt.) Broth. ssp. spuria (Amann) Kramer								Plantae				Pottiaceae	Tortula		caninervis	spuria			(Amann) Kramer					
214476204												VAL	VAL_bry			PreservedSpecimen					214476204	957-1			P. Heras																																		1983	12	31													ES		VI			Hueto Arriba				40									42.900001525879	-2.789999961853							0																																													Thuidium abietinum (Hedw.) B. S. et G. var. hystricosum (Mitt.) Loeske								Plantae				Thuidiaceae	Thuidium		abietinum	hystricosum			(Mitt.) Loeske					
214476203												VAL	VAL_bry			PreservedSpecimen					214476203	956-1																																					1984	1	21													ES		BI			Ubidea				750									43.020000457764	-2.7300000190735							0																																													Sphagnum fimbriatum Wils.								Plantae				Sphagnaceae	Sphagnum		fimbriatum				Wils.					
214476202												VAL	VAL_bry			PreservedSpecimen					214476202	953-1			P. Heras																																		1983	10	15													ES		VI			Gautzaga, Aramaiona				460									43.060001373291	-2.5899999141693							0																																													Tetraphis pellucida Hedw.								Plantae				Tetraphidaceae	Tetraphis		pellucida				Hedw.					
214476201												VAL	VAL_bry			PreservedSpecimen					214476201	94-1			Puche																																		1977	7	1													ES		TE			Sierra Palomita, Barranco del Río Palomita													40.529998779297	-0.51999998092651							0																																													Timmia bavarica Hessl.								Plantae				Timmiaceae	Timmia		bavarica				Hessl.					
214476200												VAL	VAL_bry			PreservedSpecimen					214476200	93-1			Puche																																		1977	7	17													ES		TE			Sierra Palomita, abrevadero Palomita				1650									40.529998779297	-0.51999998092651							0																																													Timmia bavarica Hessl.								Plantae				Timmiaceae	Timmia		bavarica				Hessl.					
214476199												VAL	VAL_bry			PreservedSpecimen					214476199	89-1			Puche																																		1977	7	1													ES		TE			Sierra Palomita, Barranco del Río Palomita													40.529998779297	-0.51999998092651							0																																													Seligeria pusilla (Hedw.) B., S. & G.								Plantae				Seligeriaceae	Seligeria		pusilla				(Hedw.) B., S. & G.					
214476198												VAL	VAL_bry			PreservedSpecimen					214476198	88-1			Puche																																		1983	8	27													ES		TE			Sierra Palomita, Barranco del Río Palomita				1400									40.529998779297	-0.51999998092651							0																																													Seligeria calcarea (Hedw.) Br. Eur.								Plantae				Seligeriaceae	Seligeria		calcarea				(Hedw.) Br. Eur.					
214476197												VAL	VAL_bry			PreservedSpecimen					214476197	87-1			Puche																																		1983	8	19													ES		TE			Sierra Palomita, Barranco del Río Palomita				1400									40.529998779297	-0.51999998092651							0																																													Seligeria calcarea (Hedw.) Br. Eur.								Plantae				Seligeriaceae	Seligeria		calcarea				(Hedw.) Br. Eur.					
214476196												VAL	VAL_bry			PreservedSpecimen					214476196	86-1			Puche																																		1981	7	27													ES		TE			Sierra Palomita, abrevadero Palomita				1600									40.529998779297	-0.51999998092651							0																																													Schistidium robustum Nees Et Hornsch.								Plantae				Grimmiaceae	Schistidium		robustum				Nees Et Hornsch.					
214476195												VAL	VAL_bry			PreservedSpecimen					214476195	85-1			Puche																																		1978	8	20													ES		TE			Sierra Palomita, abrevadero Palomita				1700									40.529998779297	-0.51999998092651							0																																													Schistidium crassipilum Blom								Plantae				Grimmiaceae	Schistidium		crassipilum				Blom					
214476194												VAL	VAL_bry			PreservedSpecimen					214476194	841-1			Casañ																																		1983	7	10													ES		LE			Tejeda de Ancares													42.790000915527	-6.8000001907349							0																																													Ulota crispa (Hedw.) Brid.								Plantae				Orthotrichaceae	Ulota		crispa				(Hedw.) Brid.					
214476193												VAL	VAL_bry			PreservedSpecimen					214476193	8076-1			M. A. Gómez & O. Mayoral																																		2001	6	8													ES		CU			Huerta del Marquesado, Sierra de Valdemeca, Fuente los ALIMENTO													40.169998168945	-1.7599999904633							0																																													Sphagnum subnitens Russ. & Warnst.								Plantae				Sphagnaceae	Sphagnum		subnitens				Russ. & Warnst.					
214476192												VAL	VAL_bry			PreservedSpecimen					214476192	8075-1			M. A. Gómez & O. Mayoral																																		2000	9	30													ES		CU			Huerta del Marquesado, Sierra de Valedemeca, prox. A Collado Bajo				1650									40.180000305176	-1.7599999904633							0																																													Sphagnum subnitens Russ. & Warnst.								Plantae				Sphagnaceae	Sphagnum		subnitens				Russ. & Warnst.					
214476191												VAL	VAL_bry			PreservedSpecimen					214476191	8073-1			M.A, Gómez & O. Mayoral																																		2000	6	13													ES		CU			Huerta del Marquesado, Sierra de Valedemeca, prox. A Collado Bajo				1650									40.180000305176	-1.7599999904633							0																																													Sphagnum subnitens Russ. & Warnst.								Plantae				Sphagnaceae	Sphagnum		subnitens				Russ. & Warnst.					
214476190												VAL	VAL_bry			PreservedSpecimen					214476190	8072-1			M.A. Gómez & O. Mayoral																																		2000	6	13													ES		CU			Huerta del Marquesado, Sierra de Valdemeca, El Entredicho													40.220001220703	-1.8099999427795							0																																													Sphagnum denticulatum Brid.								Plantae				Sphagnaceae	Sphagnum		denticulatum				Brid.					
214476189												VAL	VAL_bry			PreservedSpecimen					214476189	8051-1			Puche																																		2007	6	5													ES		CS			Vistabella, Peñagolosa, Barranco de la Pegunta				1233									40.240001678467	-0.34999999403954							0																																													Tortella bambergeri (Schimp.) Broth.								Plantae				Pottiaceae	Tortella		bambergeri				(Schimp.) Broth.					
214476188												VAL	VAL_bry			PreservedSpecimen					214476188	8050-1			V. Atienza																																		2007	6	5													ES		CS			Vistabella, Peñagolosa, Barranco de la Pegunta				1233									40.240001678467	-0.34999999403954							0																																													Tortella humilis (Hedw.) Jenn.								Plantae				Pottiaceae	Tortella		humilis				(Hedw.) Jenn.					
214476187												VAL	VAL_bry			PreservedSpecimen					214476187	8049-1			Puche																																		2007	6	5													ES		CS			Vistabella, Peñagolosa, Barranco de la Pegunta				1233									40.240001678467	-0.34999999403954							0																																													Tortella tortuosa (Hedw.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa				(Hedw.) Limpr.					
214476186												VAL	VAL_bry			PreservedSpecimen					214476186	8024-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Syntrichia subpapillosissima (Bizot & R.B. Pierrot Ex W. A, Kramer) M								Plantae				Pottiaceae	Syntrichia		subpapillosissima				(Bizot & R.B. Pierrot Ex W. A, Kramer) M					
214476185												VAL	VAL_bry			PreservedSpecimen					214476185	8017-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Syntrichia ruralis (Hedw.) F. Weber & D. Mohr.								Plantae				Pottiaceae	Syntrichia		ruralis				(Hedw.) F. Weber & D. Mohr.					
214476184												VAL	VAL_bry			PreservedSpecimen					214476184	8013-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Tortula muralis Hedw.								Plantae				Pottiaceae	Tortula		muralis				Hedw.					
214476183												VAL	VAL_bry			PreservedSpecimen					214476183	8009-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476182												VAL	VAL_bry			PreservedSpecimen					214476182	8007-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Tortella nitida (Lindb.) Broth.								Plantae				Pottiaceae	Tortella		nitida				(Lindb.) Broth.					
214476181												VAL	VAL_bry			PreservedSpecimen					214476181	8006-1			Puche																																		2007	6	5													ES		CS			Vistabella del Maestrazgo, Peñagolosa, Barranco del Avellanar				1229									40.240001678467	-0.34000000357628							0																																													Tortella tortuosa (Hedw.) Limpr. var. fragilifolia (Jur.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa	fragilifolia			(Jur.) Limpr.					
214476180												VAL	VAL_bry			PreservedSpecimen					214476180	7997-1			Puche																																		2007	6	4													ES		CS			Vistabella, Peñagolosa, masía del Manzanar				1292									40.259998321533	-0.37000000476837							0																																													Tortella tortuosa (Hedw.) Limpr. var. fragilifolia (Jur.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa	fragilifolia			(Jur.) Limpr.					
214476179												VAL	VAL_bry			PreservedSpecimen					214476179	7988-1			Puche																																		2007	6	4													ES		CS			Vistabella, El Manzanar				1373									40.259998321533	-0.37000000476837							0																																													Schistidium crassipilum Blom								Plantae				Grimmiaceae	Schistidium		crassipilum				Blom					
214476178												VAL	VAL_bry			PreservedSpecimen					214476178	7983-1			Puche																																		2007	6	4													ES		CS			Vistabella, El Manzanar				1378									40.259998321533	-0.37000000476837							0																																													Tortula inermis (Brid.) Mont.								Plantae				Pottiaceae	Tortula		inermis				(Brid.) Mont.					
214476177												VAL	VAL_bry			PreservedSpecimen					214476177	7982-1			Puche																																		2007	6	4													ES		CS			Vistabella, El Manzanar				1378									40.259998321533	-0.37000000476837							0																																													Tortella inclinata (Hedw. f.) Limpr.								Plantae				Pottiaceae	Tortella		inclinata				(Hedw. f.) Limpr.					
214476176												VAL	VAL_bry			PreservedSpecimen					214476176	7981-1			Puche																																		2007	6	4													ES		CS			Vistabella, El Manzanar				1378									40.259998321533	-0.37000000476837							0																																													Tortella tortuosa (Hedw.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa				(Hedw.) Limpr.					
214476175												VAL	VAL_bry			PreservedSpecimen					214476175	7958-1			Puche																																		2007	6	5													ES		CS			Vistabella, Peñagolosa, Barranco del Avellanar				1300									40.169998168945	-0.41999998688698							0																																													Tortella bambergeri (Schimp.) Broth.								Plantae				Pottiaceae	Tortella		bambergeri				(Schimp.) Broth.					
214476174												VAL	VAL_bry			PreservedSpecimen					214476174	7957-1			Puche																																		2007	6	4													ES		CS			Vistabella, Peñagolosa, Barranco del Manzanar				1300									40.259998321533	-0.40999999642372							0																																													Tortella bambergeri (Schimp.) Broth.								Plantae				Pottiaceae	Tortella		bambergeri				(Schimp.) Broth.					
214476173												VAL	VAL_bry			PreservedSpecimen					214476173	7873-1			Puche																																		2004	3	31													ES		V			Estivella, Fuente de Barraix				560									39.689998626709	-0.40000000596046							0																																													Tortula muralis Hedw.								Plantae				Pottiaceae	Tortula		muralis				Hedw.					
214476172												VAL	VAL_bry			PreservedSpecimen					214476172	7868-1			Puche																																		2004	3	31													ES		V			Estivella, Fuente de Barraix				560									39.689998626709	-0.40000000596046							0																																													Trichostomum brachydontium Bruch								Plantae				Pottiaceae	Trichostomum		brachydontium				Bruch					
214476171												VAL	VAL_bry			PreservedSpecimen					214476171	7866-1			Puche																																		2004	3	31													ES		V			Estivella, Fuente de Barraix				560									39.689998626709	-0.40000000596046							0																																													Trichostomum crispulum Bruch								Plantae				Pottiaceae	Trichostomum		crispulum				Bruch					
214476170												VAL	VAL_bry			PreservedSpecimen					214476170	771-1			Herrero Borgoñon																																		1985	5	18													ES		TE			Sierra Javalambre				1550									40.130001068115	-1.0199999809265							0																																													Thuidium abietinum (Hedw.) B., S. & G.								Plantae				Thuidiaceae	Thuidium		abietinum				(Hedw.) B., S. & G.					
214476169												VAL	VAL_bry			PreservedSpecimen					214476169	767-1			Herrero Borgoñon																																		1985	5	5													ES		TE			Linares de Mora, Sima de la Cespedosa				1680									40.340000152588	-0.55000001192093							0																																													Syntrichia ruralis (Hedw.) F. Weber & D. Mohr.								Plantae				Pottiaceae	Syntrichia		ruralis				(Hedw.) F. Weber & D. Mohr.					
214476168												VAL	VAL_bry			PreservedSpecimen					214476168	758-1			Herrero Borgoñon																																		1985	5	5													ES		TE			Linares de Mora, Sima de la Cespedosa				1680									40.340000152588	-0.55000001192093							0																																													Thamnobryum alopecurum (Hedw.) Nieuwl.								Plantae				Thamnobryaceae	Thamnobryum		alopecurum				(Hedw.) Nieuwl.					
214476167												VAL	VAL_bry			PreservedSpecimen					214476167	757-1			Herrero Borgoñon																																		1985	5	5													ES		TE			Linares de Mora				1680									40.340000152588	-0.55000001192093							0																																													Thuidium abietinum (Hedw.) B., S. & G.								Plantae				Thuidiaceae	Thuidium		abietinum				(Hedw.) B., S. & G.					
214476166												VAL	VAL_bry			PreservedSpecimen					214476166	754-1			Herrero Borgoñon																																		1985	5	5													ES		TE			Linares de Mora, Sima de la Cespedosa				1680									40.340000152588	-0.55000001192093							0																																													Tortella tortuosa (Hedw.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa				(Hedw.) Limpr.					
214476165												VAL	VAL_bry			PreservedSpecimen					214476165	7539-1			Puche																																		2005	2	4													ES		TF			La Gomera, Parque Nacional de Garajonay, El Roque de la Zarzita				1186									28.10000038147	-17.239999771118							0																																													Weissia controversa Hedw.								Plantae				Pottiaceae	Weissia		controversa				Hedw.					
214476164												VAL	VAL_bry			PreservedSpecimen					214476164	7531-1			Puche																																		2005	2	4													ES		TF			La Gomera, Parque Nacional de Garajonay, El Roque de la Zarzita				1186									28.10000038147	-17.239999771118							0																																													Ulota calvescens Wilson In Rabenh.								Plantae				Orthotrichaceae	Ulota		calvescens				Wilson In Rabenh.					
214476163												VAL	VAL_bry			PreservedSpecimen					214476163	7503-1			Puche																																																	ES		TF			La Gomera, Parque Natural de Mahona, Altos de Enchereda, parte superior				800									28.10000038147	-17.239999771118							0																																													Tortella nitida (Lindb.) Broth. var. irrigata Winter								Plantae				Pottiaceae	Tortella		nitida	irrigata			Winter					
214476162												VAL	VAL_bry			PreservedSpecimen					214476162	7501-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, Altos de Enchereda, parte superior				800									28.10000038147	-17.239999771118							0																																													Tortula muralis Hedw.								Plantae				Pottiaceae	Tortula		muralis				Hedw.					
214476161												VAL	VAL_bry			PreservedSpecimen					214476161	7492-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, sendero hacia Altos de Enchereda, parte baja				700									28.10000038147	-17.239999771118							0																																													Southbya tophacea Spruce								Plantae				Arnelliaceae	Southbya		tophacea				Spruce					
214476160												VAL	VAL_bry			PreservedSpecimen					214476160	7485-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, sendero hacia Altos de Enchereda, parte baja				700									28.10000038147	-17.239999771118							0																																													Trichostomum brachydontium Bruch								Plantae				Pottiaceae	Trichostomum		brachydontium				Bruch					
214476159												VAL	VAL_bry			PreservedSpecimen					214476159	7483-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, sendero hacia Altos de Enchereda, parte baja				700									28.10000038147	-17.239999771118							0																																													Scleropodium touretii (Brid.) L. Koch								Plantae				Brachytheciaceae	Scleropodium		touretii				(Brid.) L. Koch					
214476158												VAL	VAL_bry			PreservedSpecimen					214476158	7480-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, sendero hacia Altos de Enchereda, parte baja				700									28.10000038147	-17.239999771118							0																																													Thamnobryum alopecurum (Hedw.) Nieuwl.								Plantae				Thamnobryaceae	Thamnobryum		alopecurum				(Hedw.) Nieuwl.					
214476157												VAL	VAL_bry			PreservedSpecimen					214476157	7479-1			Puche																																		2005	2	6													ES		TF			La Gomera, Parque Natural de Mahona, sendero hacia Altos de Enchereda, parte baja				700									28.10000038147	-17.239999771118							0																																													Weissia controversa Hedw.								Plantae				Pottiaceae	Weissia		controversa				Hedw.					
214476156												VAL	VAL_bry			PreservedSpecimen					214476156	7406-1			Puche																																		2005	2	5													ES		TF			"La Gomera, Monte ""El Cedro"""				1200									28.10000038147	-17.239999771118							0																																													Thamnobryum alopecurum (Hedw.) Nieuwl.								Plantae				Thamnobryaceae	Thamnobryum		alopecurum				(Hedw.) Nieuwl.					
214476155												VAL	VAL_bry			PreservedSpecimen					214476155	7388-1			Puche																																		2005	2	5													ES		TF			La Gomera, La Fortaleza de Chipude,  parte superior				1200									28.10000038147	-17.340000152588							0																																													Tortula atrovirens (Sm.) Lindb.								Plantae				Pottiaceae	Tortula		atrovirens				(Sm.) Lindb.					
214476154												VAL	VAL_bry			PreservedSpecimen					214476154	7387-1			Puche																																		2005	2	5													ES		TF			La Gomera, La Fortaleza de Chipude,  parte superior				1200									28.10000038147	-17.340000152588							0																																													Tortula brevissima Schiffn.								Plantae				Pottiaceae	Tortula		brevissima				Schiffn.					
214476153												VAL	VAL_bry			PreservedSpecimen					214476153	7379-1			Puche																																		2005	2	5													ES		TF			La Gomera, La Fortaleza de Chipude, ladera inferior				1140									28.10000038147	-17.340000152588							0																																													Targionia hypophylla L.								Plantae				Targioniaceae	Targionia		hypophylla				L.					
214476152												VAL	VAL_bry			PreservedSpecimen					214476152	7373-1			Puche																																		2005	2	5													ES		TF			La Gomera, La Fortaleza de Chipude, ladera inferior				1140									28.10000038147	-17.340000152588							0																																													Tortula muralis Hedw.								Plantae				Pottiaceae	Tortula		muralis				Hedw.					
214476151												VAL	VAL_bry			PreservedSpecimen					214476151	7370-1			Puche																																		2006	7	29													ES		SO			Santa María de las Hoyas, Cañon del Rio Lobos				1300									41.790000915527	-3.1300001144409							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476150												VAL	VAL_bry			PreservedSpecimen					214476150	7369-1			Puche																																		2006	7	30													ES		SO			Casarejos, Cañón del Rio Lobos													41.759998321533	-3.0999999046326							0																																													Seligeria pusilla (Hedw.) B., S. & G.								Plantae				Seligeriaceae	Seligeria		pusilla				(Hedw.) B., S. & G.					
214476149												VAL	VAL_bry			PreservedSpecimen					214476149	7368-1			Puche																																		2006	7	30													ES		SO			Ucero, Cañón del Rio Lobos				991									41.770000457764	-3.0999999046326							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476148												VAL	VAL_bry			PreservedSpecimen					214476148	7367-1			Puche																																		2006	7	30													ES		SO			Ucero, Cañón del Rio Lobos				991									41.770000457764	-3.0999999046326							0																																													Seligeria pusilla (Hedw.) B., S. & G.								Plantae				Seligeriaceae	Seligeria		pusilla				(Hedw.) B., S. & G.					
214476147												VAL	VAL_bry			PreservedSpecimen					214476147	7366-1			Puche																																		2006	7	30													ES		SO			Nafria de Ucero, Cañon del Rio Lobos				942									41.75	-3.0799999237061							0																																													Seligeria donniana (Sm.) Müll. Hal.								Plantae				Seligeriaceae	Seligeria		donniana				(Sm.) Müll. Hal.					
214476146												VAL	VAL_bry			PreservedSpecimen					214476146	7365-1			Puche																																		2006	7	30													ES		SO			Nafria de Ucero, Cañon del Rio Lobos				942									41.75	-3.0799999237061							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476145												VAL	VAL_bry			PreservedSpecimen					214476145	7364-1			Puche																																		2006	7	30													ES		SO			Nafria de Ucero, Cañon del Rio Lobos				920									41.75	-3.0699999332428							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476144												VAL	VAL_bry			PreservedSpecimen					214476144	7363-1			Puche																																		2006	7	30													ES		SO			Casarejos, Cañón del Rio Lobos													41.759998321533	-3.0999999046326							0																																													Seligeria trifaria (Brid.) Lindb.								Plantae				Seligeriaceae	Seligeria		trifaria				(Brid.) Lindb.					
214476143												VAL	VAL_bry			PreservedSpecimen					214476143	7362-1			Puche																																		2006	7	29													ES		SO			Santa María de las Hoyas, Cañon dell Rio Lobos				1393									41.790000915527	-3.1199998855591							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476142												VAL	VAL_bry			PreservedSpecimen					214476142	7361-1			Puche																																		2006	7	30													ES		SO			Santa María de las Hoyas, Cañon dell Rio Lobos				1393									41.790000915527	-3.1199998855591							0																																													Seligeria acutifolia Lindb.								Plantae				Seligeriaceae	Seligeria		acutifolia				Lindb.					
214476141												VAL	VAL_bry			PreservedSpecimen					214476141	7360-1			R.D. Porley																																		1987	5	17													GB					North Hampshire, Juniper Hanger, The Weald																					0																																													Seligeria calycina Mitt. Ex Lindb.								Plantae				Seligeriaceae	Seligeria		calycina				Mitt. Ex Lindb.					
214476140												VAL	VAL_bry			PreservedSpecimen					214476140	7359-1			R. D. Porley																																		2005	4	7													GB					West Sussex, Kingley Vale National Nature Reserve																					0																																													Seligeria calycina Mitt. Ex Lindb.								Plantae				Seligeriaceae	Seligeria		calycina				Mitt. Ex Lindb.					
214476139												VAL	VAL_bry			PreservedSpecimen					214476139	7356-1			J. Pericás																																		2005	9	7													ES		PM			Escorca, (Mallorca) Puig Major de Torrella				1330									39.799999237061	2.789999961853							0																																													Tortella tortuosa (Hedw.) Limpr. var. fragilifolia (Jur.) Limpr.								Plantae				Pottiaceae	Tortella		tortuosa	fragilifolia			(Jur.) Limpr.					
214476138												VAL	VAL_bry			PreservedSpecimen					214476138	7355-1			J. Pericás																																		2006	5	11													ES		PM			Escorca, (Mallorca) Puig Major de Torrella				1360									39.799999237061	2.789999961853							0																																													Syntrichia subpapillosissima (Bizot & R.B. Pierrot Ex W. A, Kramer) M								Plantae				Pottiaceae	Syntrichia		subpapillosissima				(Bizot & R.B. Pierrot Ex W. A, Kramer) M					
214476137												VAL	VAL_bry			PreservedSpecimen					214476137	7354-1			J. Pericás																																		2006	5	11													ES		PM			Escorca, (Mallorca) Puig Major de Torrella				1340									39.799999237061	2.789999961853							0																																													Syntrichia handelii  (Schiffn.) S.Agnew & Vondr.								Plantae				Pottiaceae	Syntrichia		handelii				(Schiffn.) S.Agnew & Vondr.					
214476136												VAL	VAL_bry			PreservedSpecimen					214476136	7337-1			Puche																																		2006	5	24													ES		V			Quesa, Los Lagos del Río Grande V				270									39.080001831055	-0.77999997138977							0																																													Tortella nitida (Lindb.) Broth.								Plantae				Pottiaceae	Tortella		nitida				(Lindb.) Broth.					
214476135												VAL	VAL_bry			PreservedSpecimen					214476135	7334-1			Puche																																		2006	5	24													ES		V			Quesa, Los Lagos del Río Grande V				270									39.080001831055	-0.77999997138977							0																																													Schistidium brunescens Limpr. ssp. brunescens								Plantae				Grimmiaceae	Schistidium		brunescens	brunescens			Limpr.					
214476134												VAL	VAL_bry			PreservedSpecimen					214476134	7333-1			Puche																																		2006	5	24													ES		V			Quesa, Los Lagos del Río Grande V				270									39.080001831055	-0.77999997138977							0																																													Trichostomum crispulum Bruch								Plantae				Pottiaceae	Trichostomum		crispulum				Bruch					
214476133												VAL	VAL_bry			PreservedSpecimen					214476133	7331-1			Puche																																		2006	5	24													ES		V			Quesa, Los Lagos del Río Grande III				292									39.080001831055	-0.77999997138977							0																																													Tortella nitida (Lindb.) Broth.								Plantae				Pottiaceae	Tortella		nitida				(Lindb.) Broth.					
214476132												VAL	VAL_bry			PreservedSpecimen					214476132	7329-1			Puche																																		2006	5	24													ES		V			Quesa, Los Lagos del Río Grande II				288									39.080001831055	-0.79000002145767							0																																													Trichostomum triumphans De Not.								Plantae				Pottiaceae	Trichostomum		triumphans				De Not.					
